   1.00000000       4.03594971E-03   1.00177526E-03
   1.20000005       3.52541590E-03   1.01828575E-03
   1.40000010       3.27553041E-03   1.04939938E-03
   1.60000014       3.38047720E-03   1.16002560E-03
   1.80000019       3.95086035E-03   1.38807297E-03
   2.00000024       5.10823680E-03   2.43216753E-03
   2.20000029       8.04250780E-03   1.07076764E-02
   2.40000033       9.29554179E-03   3.98342013E-02
   2.60000038       5.60778752E-03   3.27361450E-02
   2.80000043       4.48045926E-03   2.16793679E-02
   3.00000048       3.27096321E-03   1.09703317E-02
   3.20000052       2.81641213E-03   8.84662848E-03
   3.40000057       2.53503770E-03   6.49676379E-03
