   1.00000000      -1.97999990      -1.98629129     -0.995000005      0.990863383    
   1.20000005      -2.00000000      -1.98553801      -1.00000000      0.995781779    
   1.40000010      -2.00000000      -1.96538651      -1.00000000      0.990244448    
   1.60000014      -1.91999996      -1.92592025     -0.974999964      0.978681386    
   1.80000019      -1.82999992      -1.85394645     -0.949999988      0.954575479    
   2.00000024      -1.83999991      -1.74764264     -0.954999983      0.915414035    
   2.20000029      -1.39999998      -1.57248604     -0.719999969      0.827921867    
   2.40000033      -1.30999994      -1.27423584     -0.675000012      0.531433523    
   2.60000038      -1.09000003      -1.04439533     -0.275000006      0.288531601    
   2.80000043     -0.870000005     -0.914395988      0.109999999      0.199755177    
   3.00000048     -0.899999976     -0.820110142     -0.444999993      0.140699282    
   3.20000052     -0.629999995     -0.745224297      -6.49999976E-02  0.122902147    
   3.40000057     -0.639999986     -0.680719793      -4.49999981E-02  0.107502423    
   3.60000062     -0.779999971     -0.626953304     -0.170000002       8.46903250E-02
   3.80000067     -0.649999976     -0.594544947     -0.179999992       8.31118673E-02
   4.00000048     -0.459999979     -0.549081028      -7.00000003E-02   8.66583511E-02
   4.20000029     -0.519999981     -0.520489275       7.49999955E-02   7.77671486E-02
   4.40000010     -0.629999995     -0.498321861       9.99999978E-03   7.89110959E-02
