   1.00000000       1.27472532    
   1.20000005       1.21978021    
   1.40000010       3.59240770    
   1.60000014       8.19280720    
   1.80000019       16.8821182    
   2.00000024       31.0239754    
   2.20000029       55.6613388    
   2.40000033       102.204796    
   2.60000038       140.587418    
   2.80000043       164.516479    
   3.00000048       184.232773    
   3.20000052       199.084915    
   3.40000057       214.033966    
   3.60000062       225.773224    
   3.80000067       234.427567    
   4.00000048       244.531464    
   4.20000029       252.552444    
   4.40000010       258.334656    
